Optical Power Monitor;;;;
3.1.3778.562;;;;
Delimiter Used: ; ';';;
;;;;
Start of Measurement ; 10/6/2021 13:55:27;;;
Sample Interval ; 0,2 s;;;
; PM100D 200430215;;;
Type; PM100D;;;
Serialnumber; P0026910;;;
Sensor; S120C;;;
SensorSerialnumber;200430215;;;
Wavelength / Responsivity; 830 nm;;;
;;;;
;;;PM100D 200430215; 
Samples ;Date (MM/dd/yyyy) ;Time of day (hh:mm:ss) ;Power (W);
164; 10/6/2021; 13:55:52.968;1,09E-06;
165; 10/6/2021; 13:55:52.998;1,09E-06;
166; 10/6/2021; 13:55:53.029;1,10E-06;
167; 10/6/2021; 13:55:53.243;1,10E-06;
168; 10/6/2021; 13:55:53.457;1,11E-06;
169; 10/6/2021; 13:55:53.671;1,12E-06;
170; 10/6/2021; 13:55:53.884;1,13E-06;
171; 10/6/2021; 13:55:53.914;1,13E-06;
172; 10/6/2021; 13:55:53.945;1,14E-06;
173; 10/6/2021; 13:55:53.976;1,10E-06;
174; 10/6/2021; 13:55:54.007;1,21E-06;
175; 10/6/2021; 13:55:54.219;1,11E-06;
176; 10/6/2021; 13:55:54.432;1,12E-06;
177; 10/6/2021; 13:55:54.645;1,12E-06;
178; 10/6/2021; 13:55:54.860;1,14E-06;
179; 10/6/2021; 13:55:55.075;1,14E-06;
180; 10/6/2021; 13:55:55.290;1,14E-06;
181; 10/6/2021; 13:55:55.504;1,14E-06;
182; 10/6/2021; 13:55:55.717;1,15E-06;
183; 10/6/2021; 13:55:55.929;1,15E-06;
184; 10/6/2021; 13:55:55.960;1,15E-06;
185; 10/6/2021; 13:55:55.993;1,16E-06;
186; 10/6/2021; 13:55:56.024;1,15E-06;
187; 10/6/2021; 13:55:56.238;1,15E-06;
188; 10/6/2021; 13:55:56.452;1,14E-06;
189; 10/6/2021; 13:55:56.663;1,15E-06;
190; 10/6/2021; 13:55:56.877;1,15E-06;
191; 10/6/2021; 13:55:56.910;1,15E-06;
192; 10/6/2021; 13:55:56.940;1,14E-06;
193; 10/6/2021; 13:55:56.971;1,11E-06;
194; 10/6/2021; 13:55:57.003;1,14E-06;
195; 10/6/2021; 13:55:57.216;1,14E-06;
196; 10/6/2021; 13:55:57.428;1,14E-06;
197; 10/6/2021; 13:55:57.643;1,15E-06;
198; 10/6/2021; 13:55:57.858;1,15E-06;
199; 10/6/2021; 13:55:58.071;1,15E-06;
200; 10/6/2021; 13:55:58.284;1,15E-06;
201; 10/6/2021; 13:55:58.498;1,16E-06;
202; 10/6/2021; 13:55:58.712;1,16E-06;
203; 10/6/2021; 13:55:58.925;1,16E-06;
204; 10/6/2021; 13:55:58.956;1,15E-06;
205; 10/6/2021; 13:55:58.987;1,14E-06;
206; 10/6/2021; 13:55:59.018;1,18E-06;
207; 10/6/2021; 13:55:59.233;1,16E-06;
208; 10/6/2021; 13:55:59.447;1,17E-06;
209; 10/6/2021; 13:55:59.662;1,17E-06;
210; 10/6/2021; 13:55:59.875;1,17E-06;
211; 10/6/2021; 13:55:59.907;1,17E-06;
212; 10/6/2021; 13:55:59.939;1,18E-06;
213; 10/6/2021; 13:55:59.970;1,19E-06;
214; 10/6/2021; 13:56:00.001;1,16E-06;
215; 10/6/2021; 13:56:00.216;1,17E-06;
216; 10/6/2021; 13:56:00.428;1,17E-06;
217; 10/6/2021; 13:56:00.643;1,18E-06;
218; 10/6/2021; 13:56:00.855;1,19E-06;
219; 10/6/2021; 13:56:01.071;1,17E-06;
220; 10/6/2021; 13:56:01.284;1,18E-06;
221; 10/6/2021; 13:56:01.496;1,18E-06;
222; 10/6/2021; 13:56:01.708;1,18E-06;
223; 10/6/2021; 13:56:01.922;1,17E-06;
224; 10/6/2021; 13:56:01.953;1,16E-06;
225; 10/6/2021; 13:56:01.984;1,19E-06;
226; 10/6/2021; 13:56:02.015;1,18E-06;
227; 10/6/2021; 13:56:02.232;1,18E-06;
228; 10/6/2021; 13:56:02.444;1,18E-06;
229; 10/6/2021; 13:56:02.661;1,18E-06;
230; 10/6/2021; 13:56:02.878;1,18E-06;
231; 10/6/2021; 13:56:02.909;1,19E-06;
232; 10/6/2021; 13:56:02.940;1,19E-06;
233; 10/6/2021; 13:56:02.971;1,20E-06;
234; 10/6/2021; 13:56:03.002;1,17E-06;
235; 10/6/2021; 13:56:03.219;1,18E-06;
236; 10/6/2021; 13:56:03.431;1,18E-06;
237; 10/6/2021; 13:56:03.644;1,18E-06;
238; 10/6/2021; 13:56:03.857;1,18E-06;
239; 10/6/2021; 13:56:04.070;1,18E-06;
240; 10/6/2021; 13:56:04.284;1,19E-06;
241; 10/6/2021; 13:56:04.496;1,19E-06;
242; 10/6/2021; 13:56:04.711;1,19E-06;
243; 10/6/2021; 13:56:04.924;1,18E-06;
244; 10/6/2021; 13:56:04.955;1,18E-06;
245; 10/6/2021; 13:56:04.986;1,17E-06;
246; 10/6/2021; 13:56:05.017;1,17E-06;
247; 10/6/2021; 13:56:05.233;1,19E-06;
248; 10/6/2021; 13:56:05.447;1,18E-06;
249; 10/6/2021; 13:56:05.660;1,18E-06;
250; 10/6/2021; 13:56:05.875;1,18E-06;
251; 10/6/2021; 13:56:05.906;1,17E-06;
252; 10/6/2021; 13:56:05.937;1,19E-06;
253; 10/6/2021; 13:56:05.969;1,20E-06;
254; 10/6/2021; 13:56:06.005;1,18E-06;
255; 10/6/2021; 13:56:06.218;1,18E-06;
256; 10/6/2021; 13:56:06.433;1,18E-06;
257; 10/6/2021; 13:56:06.647;1,17E-06;
258; 10/6/2021; 13:56:06.861;1,18E-06;
259; 10/6/2021; 13:56:07.074;1,19E-06;
260; 10/6/2021; 13:56:07.287;1,18E-06;
261; 10/6/2021; 13:56:07.501;1,18E-06;
262; 10/6/2021; 13:56:07.714;1,18E-06;
263; 10/6/2021; 13:56:07.926;1,19E-06;
264; 10/6/2021; 13:56:07.958;1,16E-06;
265; 10/6/2021; 13:56:07.989;1,16E-06;
266; 10/6/2021; 13:56:08.020;1,17E-06;
267; 10/6/2021; 13:56:08.234;1,18E-06;
268; 10/6/2021; 13:56:08.447;1,18E-06;
269; 10/6/2021; 13:56:08.661;1,17E-06;
270; 10/6/2021; 13:56:08.874;1,17E-06;
271; 10/6/2021; 13:56:08.905;1,16E-06;
272; 10/6/2021; 13:56:08.937;1,15E-06;
273; 10/6/2021; 13:56:08.968;1,15E-06;
274; 10/6/2021; 13:56:08.999;1,15E-06;
275; 10/6/2021; 13:56:09.031;1,18E-06;
276; 10/6/2021; 13:56:09.244;1,17E-06;
277; 10/6/2021; 13:56:09.459;1,18E-06;
278; 10/6/2021; 13:56:09.671;1,17E-06;
279; 10/6/2021; 13:56:09.884;1,16E-06;
280; 10/6/2021; 13:56:09.915;1,16E-06;
281; 10/6/2021; 13:56:09.946;1,15E-06;
282; 10/6/2021; 13:56:09.979;1,16E-06;
283; 10/6/2021; 13:56:10.010;1,17E-06;
284; 10/6/2021; 13:56:10.222;1,16E-06;
285; 10/6/2021; 13:56:10.434;1,15E-06;
286; 10/6/2021; 13:56:10.647;1,15E-06;
287; 10/6/2021; 13:56:10.862;1,15E-06;
288; 10/6/2021; 13:56:11.076;1,17E-06;
289; 10/6/2021; 13:56:11.289;1,17E-06;
290; 10/6/2021; 13:56:11.504;1,17E-06;
291; 10/6/2021; 13:56:11.719;1,17E-06;
292; 10/6/2021; 13:56:11.932;1,17E-06;
293; 10/6/2021; 13:56:11.963;1,17E-06;
294; 10/6/2021; 13:56:12.005;1,17E-06;
295; 10/6/2021; 13:56:12.230;1,17E-06;
296; 10/6/2021; 13:56:12.442;1,18E-06;
297; 10/6/2021; 13:56:12.656;1,19E-06;
298; 10/6/2021; 13:56:12.869;1,17E-06;
299; 10/6/2021; 13:56:13.081;1,17E-06;
300; 10/6/2021; 13:56:13.293;1,19E-06;
301; 10/6/2021; 13:56:13.506;1,18E-06;
302; 10/6/2021; 13:56:13.720;1,18E-06;
303; 10/6/2021; 13:56:13.932;1,18E-06;
304; 10/6/2021; 13:56:13.963;1,17E-06;
305; 10/6/2021; 13:56:14.003;1,19E-06;
306; 10/6/2021; 13:56:14.208;1,17E-06;
307; 10/6/2021; 13:56:14.423;1,17E-06;
308; 10/6/2021; 13:56:14.638;1,17E-06;
309; 10/6/2021; 13:56:14.853;1,17E-06;
310; 10/6/2021; 13:56:15.065;1,17E-06;
311; 10/6/2021; 13:56:15.281;1,16E-06;
312; 10/6/2021; 13:56:15.496;1,17E-06;
313; 10/6/2021; 13:56:15.712;1,17E-06;
314; 10/6/2021; 13:56:15.925;1,17E-06;
315; 10/6/2021; 13:56:15.958;1,17E-06;
316; 10/6/2021; 13:56:16.009;1,17E-06;
317; 10/6/2021; 13:56:16.235;1,18E-06;
318; 10/6/2021; 13:56:16.449;1,17E-06;
319; 10/6/2021; 13:56:16.665;1,17E-06;
320; 10/6/2021; 13:56:16.881;1,17E-06;
321; 10/6/2021; 13:56:16.912;1,14E-06;
322; 10/6/2021; 13:56:16.962;1,13E-06;
323; 10/6/2021; 13:56:17.005;1,17E-06;
324; 10/6/2021; 13:56:17.212;1,15E-06;
325; 10/6/2021; 13:56:17.427;1,16E-06;
326; 10/6/2021; 13:56:17.640;1,16E-06;
327; 10/6/2021; 13:56:17.857;1,16E-06;
328; 10/6/2021; 13:56:18.070;1,15E-06;
329; 10/6/2021; 13:56:18.284;1,15E-06;
330; 10/6/2021; 13:56:18.497;1,15E-06;
331; 10/6/2021; 13:56:18.711;1,15E-06;
332; 10/6/2021; 13:56:18.926;1,16E-06;
333; 10/6/2021; 13:56:18.957;1,14E-06;
334; 10/6/2021; 13:56:18.988;1,14E-06;
335; 10/6/2021; 13:56:19.019;1,15E-06;
336; 10/6/2021; 13:56:19.233;1,15E-06;
337; 10/6/2021; 13:56:19.446;1,14E-06;
