x(ps)	counts	counts(1/s)
79.1	4534	45340
79.2	4580	45800
79.3	4506	45060
79.39999999999999	4478	44780
79.5	4415	44150
79.6	4518	45180
79.7	4479	44790
79.8	4449	44490
79.89999999999999	4532	45320
80	4545	45450
80.1	4408	44080
80.2	4467	44670
80.3	4497	44970
80.39999999999999	4520	45200
80.5	4603	46030
80.6	4394	43940
80.7	4663	46630
80.8	4563	45630
80.89999999999999	4634	46340
81	4075	40750
81.1	244	2440
81.2	228	2280
81.3	201	2010
81.39999999999999	241	2410
81.5	263	2630
81.6	226	2260
81.7	219	2190
81.8	236	2360
81.89999999999999	234	2340
82	271	2710
82.1	250	2500
82.2	240	2400
82.3	242	2420
82.39999999999999	275	2750
82.5	234	2340
82.6	264	2640
82.7	249	2490
82.8	242	2420
82.89999999999999	256	2560
83	805	8050
83.1	4536	45360
83.2	4526	45260
83.3	4427	44270
83.39999999999999	4383	43830
83.5	4432	44320
83.6	4586	45860
83.7	4386	43860
83.8	4492	44920
83.89999999999999	4452	44520
84	4400	44000
84.1	4606	46060
84.2	4598	45980
84.3	4443	44430
84.39999999999999	4485	44850
84.5	4422	44220
84.6	4482	44820
84.7	4452	44520
84.8	4432	44320
84.89999999999999	4484	44840
85	3929	39290
85.1	225	2250
85.2	219	2190
85.3	245	2450
85.39999999999999	228	2280
85.5	230	2300
85.6	234	2340
85.7	233	2330
85.8	232	2320
85.89999999999999	233	2330
86	252	2520
86.1	258	2580
86.2	240	2400
86.3	267	2670
86.39999999999999	233	2330
86.5	270	2700
86.6	247	2470
86.7	246	2460
86.8	256	2560
86.89999999999999	238	2380
87	835	8350
87.1	4409	44090
87.2	4588	45880
87.3	4493	44930
87.39999999999999	4456	44560
87.5	4469	44690
87.6	4437	44370
87.7	4531	45310
87.8	4627	46270
87.89999999999999	4435	44350
88	4424	44240
88.1	4480	44800
88.2	4528	45280
88.3	4585	45850
88.39999999999999	4531	45310
88.5	4494	44940
88.6	4489	44890
88.7	4547	45470
88.8	4525	45250
88.89999999999999	4467	44670
89	3872	38720
89.1	242	2420
89.2	235	2350
89.3	224	2240
89.39999999999999	252	2520
89.5	233	2330
89.6	267	2670
89.7	199	1990
89.8	232	2320
89.89999999999999	237	2370
90	265	2650
90.1	235	2350
90.2	239	2390
90.3	273	2730
90.39999999999999	274	2740
90.5	244	2440
90.6	284	2840
90.7	243	2430
90.8	252	2520
90.89999999999999	256	2560
91	740	7400
91.1	4573	45730
91.2	4462	44620
91.3	4612	46120
91.39999999999999	4607	46070
91.5	4479	44790
91.6	4446	44460
91.7	4503	45030
91.8	4550	45500
91.89999999999999	4562	45620
92	4417	44170
92.1	4617	46170
92.2	4461	44610
92.3	4582	45820
92.39999999999999	4543	45430
92.5	4588	45880
92.6	4448	44480
92.7	4582	45820
92.8	4540	45400
92.89999999999999	4548	45480
93	4047	40470
93.1	231	2310
93.2	259	2590
93.3	230	2300
93.39999999999999	225	2250
93.5	210	2100
93.6	238	2380
93.7	198	1980
93.8	219	2190
93.89999999999999	235	2350
94	265	2650
94.1	247	2470
94.2	226	2260
94.3	251	2510
94.39999999999999	274	2740
94.5	217	2170
94.6	248	2480
94.7	234	2340
94.8	253	2530
94.89999999999999	248	2480
95	782	7820
95.1	4553	45530
95.2	4433	44330
95.3	4536	45360
95.39999999999999	4529	45290
95.5	4399	43990
95.6	4452	44520
95.7	4495	44950
95.8	4520	45200
95.89999999999999	4481	44810
96	4490	44900
96.1	4377	43770
96.2	4588	45880
96.3	4717	47170
96.39999999999999	4485	44850
96.5	4523	45230
96.6	4448	44480
96.7	4498	44980
96.8	4553	45530
96.89999999999999	4540	45400
97	3968	39680
97.1	196	1960
97.2	260	2600
97.3	240	2400
97.39999999999999	225	2250
