x(ps)	counts	counts(1/s)
64.2	12140	121400
64.3	38697	386970
64.4	38292	382920
64.5	38423	384230
64.6	38209	382090
64.7	38153	381530
64.8	38312	383120
64.9	38119	381190
65	38101	381010
65.1	38510	385100
65.2	38554	385540
65.3	38741	387410
65.4	38558	385580
65.5	38426	384260
65.6	38520	385200
65.7	38620	386200
65.8	38554	385540
65.9	38947	389470
66	38715	387150
66.1	38670	386700
66.2	28806	288060
66.3	2110	21100
66.4	2116	21160
66.5	2066	20660
66.6	2051	20510
66.7	2096	20960
66.8	2109	21090
66.9	2084	20840
67	2030	20300
67.1	2053	20530
67.2	2351	23510
67.3	2219	22190
67.4	2229	22290
67.5	2276	22760
67.6	2169	21690
67.7	2183	21830
67.8	2238	22380
67.9	2320	23200
68	2302	23020
68.1	2323	23230
68.2	12287	122870
68.3	38658	386580
68.4	38403	384030
68.5	38824	388240
68.6	38615	386150
68.7	38841	388410
68.8	38657	386570
68.9	38351	383510
69	38330	383300
69.1	38558	385580
69.2	38864	388640
69.3	39117	391170
69.4	38793	387930
69.5	38699	386990
69.6	38717	387170
69.7	38778	387780
69.8	38986	389860
69.9	39106	391060
70	39281	392810
70.1	38823	388230
70.2	29133	291330
70.3	2152	21520
70.4	2090	20900
70.5	2150	21500
70.6	2026	20260
70.7	2124	21240
70.8	2029	20290
70.89999999999999	2084	20840
71	2109	21090
71.1	2046	20460
71.2	2253	22530
71.3	2253	22530
71.39999999999999	2351	23510
71.5	2226	22260
71.6	2284	22840
71.7	2322	23220
71.8	2275	22750
71.89999999999999	2257	22570
72	2298	22980
72.1	2318	23180
72.2	12299	122990
72.3	39074	390740
72.39999999999999	38887	388870
72.5	38772	387720
72.6	38634	386340
72.7	38867	388670
72.8	38580	385800
72.89999999999999	38757	387570
73	38948	389480
73.1	38419	384190
73.2	39078	390780
73.3	39111	391110
73.39999999999999	38707	387070
73.5	39303	393030
73.6	39122	391220
73.7	39168	391680
73.8	39525	395250
73.89999999999999	39430	394300
74	39110	391100
74.1	39239	392390
74.2	29369	293690
74.3	2028	20280
74.39999999999999	2074	20740
74.5	2095	20950
74.6	2107	21070
74.7	2167	21670
74.8	2053	20530
74.89999999999999	2231	22310
75	2162	21620
75.1	2212	22120
75.2	2304	23040
75.3	2230	22300
75.39999999999999	2369	23690
75.5	2271	22710
75.6	2311	23110
75.7	2272	22720
75.8	2204	22040
75.89999999999999	2360	23600
76	2283	22830
76.1	2356	23560
76.2	12194	121940
76.3	38770	387700
76.39999999999999	39036	390360
76.5	39299	392990
76.6	39086	390860
76.7	39022	390220
76.8	38904	389040
76.89999999999999	38956	389560
77	38947	389470
77.1	38888	388880
77.2	39057	390570
77.3	39308	393080
77.39999999999999	39139	391390
77.5	39024	390240
77.6	39199	391990
77.7	39575	395750
77.8	39197	391970
77.89999999999999	39004	390040
78	39289	392890
78.1	39065	390650
78.2	29158	291580
78.3	2154	21540
78.39999999999999	2118	21180
78.5	2106	21060
78.6	1996	19960
78.7	2158	21580
78.8	2109	21090
78.89999999999999	2176	21760
79	2100	21000
79.1	2127	21270
79.2	2258	22580
79.3	2242	22420
79.39999999999999	2314	23140
79.5	2314	23140
79.6	2417	24170
79.7	2290	22900
79.8	2344	23440
79.89999999999999	2272	22720
80	2255	22550
80.1	2299	22990
80.2	11915	119150
80.3	38841	388410
80.39999999999999	38660	386600
80.5	38814	388140
80.6	39124	391240
80.7	38830	388300
80.8	38785	387850
80.89999999999999	38815	388150
81	38572	385720
81.1	38802	388020
81.2	38829	388290
81.3	38978	389780
81.39999999999999	38998	389980
81.5	38942	389420
81.6	38902	389020
